full_id,perc_max,num_season,year_2season,num_inactive,start_month_mode_seasonPrim,end_month_mode_seasonPrim,peak_month_mode_seasonPrim,dur_day_mean_seasonPrim,dur_day_median_seasonPrim,amp_mean_seasonPrim,start_month_mode_seasonSec,end_month_mode_seasonSec,peak_month_mode_seasonSec,dur_day_mean_seasonSec,dur_day_median_seasonSec,amp_mean_seasonSec,superficie,osm_id,X,Y,comm_fkt
r11382416,"2.52481989137838","7","0","2","6","1","9","347.5","356","1.39629260331068",NA,NA,NA,NA,NA,NA,"31496.37653",NA,47.5996620,-21.4936048,AMBIABE_AMBINANINDRANOTELO
r11382566,"14.3186629397056","5","0","0","6","6","1","373.25","369.5","7.32296119862325",NA,NA,NA,NA,NA,NA,"73509.4315644","11382566",47.5868451,-21.4828673,AMBIABE_AMBINANINDRANOTELO
r11384068,"26.8768885185034","5","0","0","6","5","12","368.5","360","15.6803515962079",NA,NA,NA,NA,NA,NA,"60005.3111854","11384068",47.5684739,-21.4612700,AMBIABE_AMBINANINDRANOTELO
r12173014,"6.02496496019523","6","1","0","5","6","11","328","359","4.05181575110678","12","6","3","159","159","2.66558768258975","126034.867652",NA,47.6347555,-21.6262387,MAROTOKO_AMBOHIMAHAVELONA
r12943065,"10.2235538537362","5","0","0","6","6","11","368.25","364","5.76900850612762",NA,NA,NA,NA,NA,NA,"351723.600863",NA,47.7020559,-21.6222358,MAROTOKO_AMBOATROTROKA
r14085422,"24.2181755774814","7","1","1","5","5","12","287.75","303.5","16.3824115266617","12","6","3","180","180","19.026887150544","109692.952543","14085422",47.6739232,-21.6260909,MAROTOKO_AMBOATROTROKA
w1024490659,"33.3930268470349","4","0","1","5","5","12","351.333333333333","349","24.1444882808585",NA,NA,NA,NA,NA,NA,"7608.0097159","1024490659",47.4682321,-21.4091235,RANOMAFANA_SAHANDRAZANA
w1024490660,"28.9392805016226","6","2","0","4","4","8","280.75","265","14.7908102867539","1","8","5","377","377","9.44640540602607","2719.2098917","1024490660",47.4695624,-21.4100759,RANOMAFANA_SAHANDRAZANA
w1024507740,"70.4211500384792","5","0","2","3","9","6","302.333333333333","327","19.7021344436278",NA,NA,NA,NA,NA,NA,"635.082089398",NA,47.4971310,-21.4236527,AMBIABE_AMBINANINDRANOTELO
w1024507741,"22.9228762408365","6","0","0","5","3","10","354.6","342","14.9877499978941",NA,NA,NA,NA,NA,NA,"3412.75069761","1024507741",47.4980260,-21.4216494,AMBIABE_AMBINANINDRANOTELO
w1024507747,"34.8307865823667","6","1","1","5","5","11","312.5","321","19.7395193033373","2","7","4","139","139","7.64747257158247","861.474734394",NA,47.4924902,-21.4192416,RANOMAFANA_SAHANDRAZANA
w1026617068,"2.40571029840753","5","0","1","12","4","9","366.5","356","1.38732344022989",NA,NA,NA,NA,NA,NA,"2795.81365795",NA,47.6018567,-21.5747138,MAROTOKO_AMBATOMITRATRAKA
w1056863346,"23.4410587301321","8","0","2","6","6","11","309.8","335","13.3563680337791",NA,NA,NA,NA,NA,NA,"1693.0343576",NA,47.7774926,-21.6326403,MAROTOKO_MAROTOKO
w322703370,"35.2673512818797","6","0","0","5","5","10","368.4","342","23.528197701445",NA,NA,NA,NA,NA,NA,"17922.24639","322703370",47.4587328,-21.2608960,RANOMAFANA_RANOMAFANA
w322703371,"23.7938283818032","10","2","3","6","1","9","209.4","209","21.6018789928217","1","6","3","170","170","12.3648725952126","52099.7954333","322703371",47.4587868,-21.2633778,RANOMAFANA_RANOMAFANA
w322703372,"38.9041016639781","8","0","1","6","6","9","313.833333333333","303","24.8438641760302",NA,NA,NA,NA,NA,NA,"4659.41031412","322703372",47.4576484,-21.2637817,RANOMAFANA_RANOMAFANA
w471663484,"16.9685408031648","8","0","2","3","12","9","319.6","271","8.87637158634156",NA,NA,NA,NA,NA,NA,"6996.18075497","471663484",47.4356970,-21.2489679,RANOMAFANA_AMBATOLAHY
w471663485,"21.6684973886174","7","1","2","5","3","12","275","267.5","13.394476238707","3","8","6","146","146","4.1864450467924","641.169407819",NA,47.4366129,-21.2488514,RANOMAFANA_AMBATOLAHY
w471663486,"0.104765256574601","5","0","1","5","6","11","328","335.5","0.057236417350536",NA,NA,NA,NA,NA,NA,"1178.6948443",NA,47.4362576,-21.2486228,RANOMAFANA_AMBATOLAHY
w478125433,"50.7648248459752","6","0","0","5","6","10","371.6","371","23.7982698818479",NA,NA,NA,NA,NA,NA,"14074.8363099","478125433",47.6642611,-20.9183372,AMBOHIMANGA DU SUD_AMBODIRAFIA
w478125439,"47.0154932394407","5","0","0","2","3","9","370","336","30.110539661719",NA,NA,NA,NA,NA,NA,"2172.32446158","478125439",47.6657748,-20.9194445,ANTSINDRA_ANIVORANO
w478167630,"25.1767141945049","6","0","1","5","6","12","378.5","387.5","14.5152095486111",NA,NA,NA,NA,NA,NA,"12820.9511456","478167630",47.6643820,-20.9670237,AMBOHIMANGA DU SUD_FALIARIVO
w569922127,"34.5138206169516","8","0","2","6","6","9","262.2","243","15.7669024642867",NA,NA,NA,NA,NA,NA,"2558.22018882","569922127",47.8511022,-20.7425170,MAROHARATRA_AMBODIMANGA
